notice_date,effective_date,received_date,company,city,county,employees_type,col7,source_file,address,employees,layoff_closure_type,layoff_closure_type_raw
06/09/2020,06/07/2020,07/01/2020,Bay Club Santa Monica,Santa Monica,Los Angeles County,82 Layoff Permanent,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,82.0,Layoff Permanent,
06/19/2020,08/21/2020,07/01/2020,"Weber Metals, Inc",Paramount,Los Angeles County,169 Layoff Permanent,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,169.0,Layoff Permanent,
06/09/2020,06/07/2020,07/01/2020,Bay Club Rolling Hills,Rolling Hills Estates,Los Angeles County,64 Layoff Permanent,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,64.0,Layoff Permanent,
06/09/2020,06/07/2020,07/01/2020,Bay Club Redondo Beach,Redondo Beach,Los Angeles County,102 Layoff Permanent,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,102.0,Layoff Permanent,
06/09/2020,06/07/2020,07/01/2020,Bay Club Ross Valley,Kentfield,Marin County,51 Layoff Permanent,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,51.0,Layoff Permanent,
06/09/2020,06/07/2020,07/01/2020,StoneTree Golf Club,Novato,Marin County,32 Layoff Permanent,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,32.0,Layoff Permanent,
06/23/2020,06/23/2020,07/01/2020,The Freeman Company LLC,Anaheim,Orange County,29 Layoff Permanent,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,29.0,Layoff Permanent,
06/18/2020,03/20/2020,07/01/2020,Hyatt Regency Sacramento,Sacramento,Sacramento County,203 Layoff Permanent,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,203.0,Layoff Permanent,
06/18/2020,06/17/2020,07/01/2020,"Granite Summit, Inc",Running Springs,San Bernardino County,60 Layoff Type Unknown,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,60.0,Layoff Type Unknown,
06/18/2020,06/17/2020,07/01/2020,Pali Camp,Running Springs,San Bernardino County,71 Layoff Type Unknown,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,71.0,Layoff Type Unknown,
06/18/2020,06/17/2020,07/01/2020,"Pali Institute, Inc",Running Springs,San Bernardino County,35 Layoff Type Unknown,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,35.0,Layoff Type Unknown,
06/18/2020,06/17/2020,07/01/2020,"Pali Mountain Conference Center, Inc",Running Springs,San Bernardino County,17 Layoff Type Unknown,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,17.0,Layoff Type Unknown,
06/09/2020,06/07/2020,07/01/2020,Bay Club San Francisco,San Francisco,San Francisco County,146 Layoff Permanent,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,146.0,Layoff Permanent,
06/09/2020,06/07/2020,07/01/2020,Bay Club SF Tennis,San Francisco,San Francisco County,64 Layoff Permanent,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,64.0,Layoff Permanent,
06/09/2020,06/07/2020,07/01/2020,Bay Club Redwood Shores,Redwood City,San Mateo County,298 Layoff Permanent,warn7-1-20to6-3-21_table0.csv,warn7-1-20to6-3-21_table0.csv,,298.0,Layoff Permanent,
06/09/2020,06/07/2020,07/01/2020,Bay Club Santa Clara,Santa Clara,Santa Clara County,182 Layoff Permanent,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,182.0,Layoff Permanent,
06/16/2020,06/22/2020,07/01/2020,Eaton Corporation,Camarillo,Ventura County,61 Layoff Temporary,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,61.0,Layoff Temporary,
06/26/2020,08/28/2020,07/01/2020,Boeing Edwards AFB RIF,Edwards,Kern County,6 Layoff Permanent,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,6.0,Layoff Permanent,
06/26/2020,08/28/2020,07/01/2020,Boeing El Segundo RIF,El Segundo,Los Angeles County,3 Layoff Permanent,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,3.0,Layoff Permanent,
06/26/2020,08/28/2020,07/01/2020,Boeing Long Beach RIF,Long Beach,Los Angeles County,19 Layoff Permanent,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,19.0,Layoff Permanent,
06/26/2020,08/28/2020,07/01/2020,Boeing Huntington Beach RIF,Huntington Beach,Orange County,24 Layoff Permanent,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,24.0,Layoff Permanent,
06/25/2020,06/30/2020,07/01/2020,Macy's,Modesto,Stanislaus County,75 Layoff Permanent,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,75.0,Layoff Permanent,
06/09/2020,06/07/2020,07/02/2020,Bay Club Walnut Creek,Walnut Creek,Contra Costa County,291 Layoff Permanent,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,291.0,Layoff Permanent,
06/22/2020,03/23/2020,07/02/2020,Swisstex California Inc,Los Angeles,Los Angeles County,9 Layoff Temporary,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,9.0,Layoff Temporary,
04/15/2020,03/26/2020,07/02/2020,Adecco at Air Fayre USA inc.,Gardena,Los Angeles County,310 Layoff Temporary,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,310.0,Layoff Temporary,
04/15/2020,03/30/2020,07/02/2020,"Western Dental Services, Inc.",Orange,Orange County,504 Layoff Temporary,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,504.0,Layoff Temporary,
06/09/2020,06/07/2020,07/02/2020,Bay Club at the Gateway,San Francisco,San Francisco County,62 Layoff Permanent,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,62.0,Layoff Permanent,
06/17/2020,07/01/2020,07/02/2020,THE TECH INTERACTIVE,San Jose,Santa Clara County,64 Layoff Type Unknown,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,64.0,Layoff Type Unknown,
04/20/2020,04/17/2020,07/02/2020,"Guitar Center, Inc.",Thousand Oaks,Ventura County,55 Layoff Temporary,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,55.0,Layoff Temporary,
04/15/2020,03/16/2020,07/02/2020,BON APPETIT Management Company,San Francisco,San Francisco County,"1,529 Layoff Temporary",warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,1529.0,",529 Layoff Temporary",
06/24/2020,06/19/2020,07/02/2020,Grand Hyatt at SFO,San Francisco,San Francisco County,15 Layoff Permanent,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,15.0,Layoff Permanent,
04/20/2020,04/01/2020,07/02/2020,"Kinestral Technologies, Inc.",Hayward,Alameda County,71 Layoff Temporary,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,71.0,Layoff Temporary,
04/19/2020,04/06/2020,07/02/2020,MV Transportation,Los Angeles,Los Angeles County,20 Layoff Temporary,warn7-1-20to6-3-21_table1.csv,warn7-1-20to6-3-21_table1.csv,,20.0,Layoff Temporary,
04/29/2020,03/20/2020,07/16/2020,Montage International - Pendry San Diego San Diego,Unnamed: 0,San Diego County,509 Layoff Temporary,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,509.0,Layoff Temporary,
07/09/2020,07/09/2020,07/21/2020,"Blanca Investments, LLC dba Villa Blanca Beverly Hills",nan,Los Angeles County,50 Closure Permanent,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,50.0,Closure Permanent,
07/10/2020,07/10/2020,07/21/2020,"Designated Metal Connection, Inc Gardena",nan,Los Angeles County,96 Layoff Permanent,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,96.0,Layoff Permanent,
05/22/2020,05/22/2020,07/21/2020,RUSNAK AUDI - PASADENA Pasadena,nan,Los Angeles County,22 Layoff Permanent,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,22.0,Layoff Permanent,
07/10/2020,07/24/2020,07/21/2020,Adventist Health Lodi Memorial Lodi,nan,San Joaquin County,1 Layoff Permanent,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,1.0,Layoff Permanent,
07/10/2020,07/10/2020,07/21/2020,Buckhorn Caf&eacute; Inc. Winters,nan,Yolo County,82 Layoff Permanent,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,82.0,Layoff Permanent,
07/10/2020,07/10/2020,07/21/2020,Buckhorn Cafe Inc. Winters,nan,Yolo County,29 Layoff Temporary,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,29.0,Layoff Temporary,
04/03/2020,03/17/2020,07/21/2020,Active Acquisition Partners LLC dba Active Sports Clubs - Oakland,nan,Alameda County,109 Layoff Temporary,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,109.0,Layoff Temporary,
04/30/2020,04/30/2020,07/21/2020,"Townsend Industries, Inc. Bakersfield",nan,Kern County,98 Layoff Temporary,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,98.0,Layoff Temporary,
05/01/2020,06/30/2020,07/21/2020,Inspire School Services Rocklin,nan,Placer County,3 Layoff Type Unknown,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,3.0,Layoff Type Unknown,
05/01/2020,06/30/2020,07/21/2020,Inspire Charter Schools Temecula,nan,Riverside County,20 Layoff Type Unknown,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,20.0,Layoff Type Unknown,
05/01/2020,06/30/2020,07/21/2020,Inspire Charter Services San Luis Obispo,nan,San Luis Obispo County,3 Layoff Type Unknown,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,3.0,Layoff Type Unknown,
07/10/2020,07/25/2020,07/21/2020,"Philz Coffee, Inc. Davis",nan,Yolo County,6 Layoff Permanent,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,6.0,Layoff Permanent,
07/14/2020,04/30/2021,07/22/2020,Smiths Detection Inc Newark,nan,Alameda County,4 Layoff Permanent,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,4.0,Layoff Permanent,
07/16/2020,07/03/2020,07/22/2020,"Crescent Resorts & Hotels, LLC - Browne Plaza Los Los Angeles",nan,Los Angeles County,13 Layoff Temporary,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,13.0,Layoff Temporary,
07/14/2020,07/06/2020,07/22/2020,"Cal Poly Pomona Foundation, Inc Pomona",nan,Los Angeles County,8 Layoff Permanent,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,8.0,Layoff Permanent,
04/03/2020,04/13/2020,07/22/2020,Quest Diagnostics Incorporated Auburn,nan,Placer County,7 Layoff Temporary,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,7.0,Layoff Temporary,
03/18/2020,03/20/2020,07/22/2020,Goodwill Industries of Sacramento Valley and Northern Sacramento,nan,Sacramento County,170 Layoff Temporary,warn7-1-20to6-3-21_table10.csv,warn7-1-20to6-3-21_table10.csv,,170.0,Layoff Temporary,
02/10/2021,04/19/2021,02/16/2021,"Morley Companies, Inc. Fountain Valley",Unnamed: 0,Orange County,87 Layoff Permanent,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,87.0,Layoff Permanent,
01/22/2021,01/22/2021,02/16/2021,Hyatt Corporation - Hyatt Regency Sacramento Sacramento,nan,Sacramento County,12 Closure Temporary,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,12.0,Closure Temporary,
02/10/2021,12/29/2020,02/16/2021,Universal City Studios LLC dba Universal Studios Universal City,nan,Los Angeles County,17 Layoff Permanent,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,17.0,Layoff Permanent,
02/11/2021,02/11/2021,02/16/2021,Norwegian Air Shuttle ASA dba Norwegian Air Resources Los Angeles,nan,Los Angeles County,96 Closure Permanent,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,96.0,Closure Permanent,
01/25/2021,03/26/2021,02/16/2021,Genpact LLC Mountain View,nan,Santa Clara County,39 Layoff Permanent,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,39.0,Layoff Permanent,
12/07/2020,11/25/2020,02/18/2021,"Cameron Mitchell Restaurants, LLC Beverly Hills",nan,Los Angeles County,62 Layoff Temporary,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,62.0,Layoff Temporary,
11/24/2020,11/24/2020,02/18/2021,Ace Hotel Group LLC - Ace Hotel DTLA Los Angeles,nan,Los Angeles County,50 Layoff Temporary,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,50.0,Layoff Temporary,
08/27/2020,08/07/2020,02/18/2021,Wyndham Vacation Ownership dba Peacock Suites Anaheim,nan,Orange County,2 Layoff Permanent,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,2.0,Layoff Permanent,
01/15/2021,01/15/2021,02/19/2021,Hyatt Corporation - Hyatt Regency Long Beach Long Beach,nan,Los Angeles County,15 Layoff Temporary,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,15.0,Layoff Temporary,
01/14/2021,01/06/2021,02/19/2021,Wells Fargo San Francisco,nan,San Francisco County,3 Layoff Permanent,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,3.0,Layoff Permanent,
12/03/2020,09/07/2020,02/22/2021,"Intarcia Therapeutics, Inc Hayward",nan,Alameda County,79 Layoff Permanent,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,79.0,Layoff Permanent,
03/27/2020,03/27/2020,02/22/2021,THE COLLECTED GROUP VERNON,nan,Los Angeles County,46 Layoff Permanent,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,46.0,Layoff Permanent,
01/26/2021,03/30/2021,02/22/2021,"VMware, Inc. Palo Alto",nan,Santa Clara County,107 Layoff Permanent,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,107.0,Layoff Permanent,
01/07/2021,01/07/2021,02/22/2021,Intercontinental Hotel-Los Angeles Downtown Los Angeles,nan,Los Angeles County,46 Layoff Temporary,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,46.0,Layoff Temporary,
01/18/2021,01/12/2021,02/22/2021,The Estate Yountville Yountville,nan,Napa County,27 Layoff Permanent,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,27.0,Layoff Permanent,
02/18/2021,04/01/2021,02/23/2021,California Resources Corporation Bakersfield,nan,Kern County,50 Layoff Permanent,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,50.0,Layoff Permanent,
02/05/2021,02/05/2021,02/23/2021,Academy of Motion Picture Arts and Sciences Beverly Hills,nan,Los Angeles County,7 Layoff Temporary,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,7.0,Layoff Temporary,
01/25/2021,09/25/2020,02/23/2021,"STAR Sports Theatre Arts & Recreation, Inc. Culver City",nan,Los Angeles County,76 Layoff Permanent,warn7-1-20to6-3-21_table100.csv,warn7-1-20to6-3-21_table100.csv,,76.0,Layoff Permanent,
02/04/2021,04/05/2021,02/23/2021,Panasonic Avionics,Lake Forest,Orange County,425 Layoff Temporary,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,425.0,Layoff Temporary,
01/29/2021,04/02/2021,02/23/2021,Vistana California Management Inc.,Palm Desert,Riverside County,76 Layoff Permanent,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,76.0,Layoff Permanent,
01/29/2021,04/02/2021,02/23/2021,WVC Rancho Mirage Inc.,Palm Desert,Riverside County,11 Layoff Permanent,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,11.0,Layoff Permanent,
12/18/2020,03/01/2021,02/23/2021,"O.W. Lee Co., Inc.",Ontario,San Bernardino County,120 Closure Permanent,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,120.0,Closure Permanent,
02/02/2021,01/29/2021,02/23/2021,Hyatt Corporation dba Park Hyatt Aviara Resort Golf,Carlsbad,San Diego County,7 Layoff Temporary,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,7.0,Layoff Temporary,
01/28/2021,02/01/2021,02/23/2021,JC Resorts - Scripps Inn,La Jolla,San Diego County,2 Layoff Temporary,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,2.0,Layoff Temporary,
01/27/2021,04/02/2021,02/23/2021,Stephens Institute dba Academy of Art University,San Francisco,San Francisco County,78 Layoff Permanent,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,78.0,Layoff Permanent,
01/28/2021,04/02/2021,02/23/2021,Amgen,Thousand Oaks,Ventura County,531 Layoff Permanent,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,531.0,Layoff Permanent,
01/22/2021,02/19/2021,02/23/2021,NBC Universal,Universal City,Los Angeles County,70 Layoff Permanent,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,70.0,Layoff Permanent,
01/28/2021,04/01/2021,02/23/2021,Hawaiian Airlines,Los Angeles,Los Angeles County,55 Layoff Temporary,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,55.0,Layoff Temporary,
01/29/2021,04/01/2021,02/23/2021,United Airlines - LAX,Los Angeles,Los Angeles County,662 Layoff Temporary,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,662.0,Layoff Temporary,
01/29/2021,04/01/2021,02/23/2021,United Airlines - SFO,San Francisco,San Francisco County,"3,139 Layoff Temporary",warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,3139.0,",139 Layoff Temporary",
01/29/2021,11/13/2020,02/24/2021,Vistana California Management Inc,Palm Desert,Riverside County,123 Layoff Permanent,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,123.0,Layoff Permanent,
01/29/2021,11/13/2020,02/24/2021,"WVC RANCHO MIRAGE, INC.",Palm Desert,Riverside County,35 Layoff Permanent,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,35.0,Layoff Permanent,
01/21/2021,01/15/2021,02/24/2021,Hyatt Corporation-Manchester Grand Hyatt San Diego,San Diego,San Diego County,12 Layoff Temporary,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,12.0,Layoff Temporary,
01/29/2021,01/29/2021,02/24/2021,Hyatt Corporation dba Grand Hyatt San Francisco,San Francisco,San Francisco County,1 Layoff Temporary,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,1.0,Layoff Temporary,
02/16/2021,05/30/2021,02/24/2021,"Gilead Sciences, Inc.",Foster City,San Mateo County,179 Layoff Permanent,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,179.0,Layoff Permanent,
01/20/2021,02/23/2021,02/24/2021,"PHCV, LLC dba Penske Honda Chula Vista",Chula Vista,San Diego County,57 Closure Permanent,warn7-1-20to6-3-21_table101.csv,warn7-1-20to6-3-21_table101.csv,,57.0,Closure Permanent,
02/15/2021,02/16/2021,02/24/2021,"Cardenas Markets, LLC",Whittier,Los Angeles County,97 Closure Permanent,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,97.0,Closure Permanent,
01/19/2021,02/15/2021,02/24/2021,"Godiva Chocolatier, Inc.",Camarillo,Ventura County,8 Closure Permanent,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,8.0,Closure Permanent,
02/22/2021,04/23/2021,02/25/2021,Clif Bar & Company,Emeryville,Alameda County,101 Layoff Permanent,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,101.0,Layoff Permanent,
02/19/2021,04/23/2021,02/25/2021,Marriott Hotel Services dba JW Marriott Desert Springs,Palm Desert,Riverside County,203 Layoff Permanent,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,203.0,Layoff Permanent,
02/05/2021,02/05/2021,02/25/2021,Hyatt Corporation as Andaz San Diego,San Diego,San Diego County,8 Layoff Temporary,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,8.0,Layoff Temporary,
02/25/2021,04/30/2021,02/25/2021,Upturn Business Inc.,San Francisco,San Francisco County,2 Closure Permanent,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,2.0,Closure Permanent,
02/19/2021,04/30/2021,02/25/2021,Sensata Technologies,Carpinteria,Santa Barbara County,207 Closure Permanent,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,207.0,Closure Permanent,
02/24/2021,02/24/2021,02/25/2021,Fry's Electronics Inc.,San Jose,Santa Clara County,76 Closure Permanent,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,76.0,Closure Permanent,
02/24/2021,03/31/2021,02/25/2021,Fry's Electronics,San Jose,Santa Clara County,72 Closure Permanent,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,72.0,Closure Permanent,
02/05/2021,02/12/2021,02/25/2021,FS Palo Alto Employment Inc. as Four Seasons Silicon,Palo Alto,Santa Clara County,119 Layoff Permanent,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,119.0,Layoff Permanent,
01/29/2021,04/01/2021,02/25/2021,Flying Food Group,South San Francisco,San Mateo County,226 Layoff Temporary,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,226.0,Layoff Temporary,
02/04/2021,02/08/2021,02/25/2021,Lehigh Southwest Cement Company,Cupertino,Santa Clara County,29 Layoff Temporary,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,29.0,Layoff Temporary,
02/24/2021,02/24/2021,02/25/2021,Rapid Displays,Union City,Alameda County,165 Layoff Temporary,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,165.0,Layoff Temporary,
02/25/2021,04/30/2021,02/26/2021,Johnson & Johnson Consumer Inc.,Los Angeles,Los Angeles County,155 Layoff Permanent,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,155.0,Layoff Permanent,
02/26/2021,04/18/2021,02/26/2021,Adventist Health Lodi Memorial,Lodi,San Joaquin County,2 Layoff Permanent,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,2.0,Layoff Permanent,
02/25/2021,02/26/2021,02/26/2021,"NBC Universal Media, LLC, NBC Universal Production",Universal City,Los Angeles County,58 Layoff Permanent,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,58.0,Layoff Permanent,
02/25/2021,02/25/2021,02/26/2021,Wells Fargo,San Francisco,San Francisco County,34 Layoff Permanent,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,34.0,Layoff Permanent,
02/26/2021,03/14/2021,03/01/2021,TA Aerospace,Valencia,Los Angeles County,111 Layoff Temporary,warn7-1-20to6-3-21_table102.csv,warn7-1-20to6-3-21_table102.csv,,111.0,Layoff Temporary,
02/26/2021,04/30/2021,03/02/2021,Cardinal Logistics Management LLC,Ontario,San Bernardino County,59 Layoff Permanent,warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,59.0,Layoff Permanent,
02/26/2021,04/27/2021,03/02/2021,"F45 Training, Inc",El Segundo,Los Angeles County,6 Closure Permanent,warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,6.0,Closure Permanent,
03/01/2021,04/30/2021,03/03/2021,Hilton Management LLC,Los Angeles,Los Angeles County,171 Layoff Permanent,warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,171.0,Layoff Permanent,
03/01/2021,05/01/2021,03/03/2021,Victor Treatment Center,Pasadena,Los Angeles County,93 Closure Permanent,warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,93.0,Closure Permanent,
03/01/2021,04/30/2021,03/03/2021,Anyone Home Inc.,Lake Forest,Orange County,52 Layoff Permanent,warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,52.0,Layoff Permanent,
02/26/2021,04/25/2021,03/03/2021,"Performant Recovery, Inc.",Lathrop,San Joaquin County,180 Layoff Temporary,warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,180.0,Layoff Temporary,
03/01/2021,04/30/2021,03/03/2021,Redding Distributing Company,Redding,Shasta County,93 Layoff Permanent,warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,93.0,Layoff Permanent,
10/22/2020,11/03/2020,03/04/2021,Intarcia Therapeutics Inc.,Hayward,Alameda County,49 Layoff Permanent,warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,49.0,Layoff Permanent,
11/02/2020,04/30/2021,03/04/2021,"All About Parking, Inc.",Fremont,Alameda County,5 Layoff Permanent,warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,5.0,Layoff Permanent,
11/13/2020,01/12/2021,03/04/2021,YMCA of San Diego,San Diego,San Diego County,"2,047 Layoff Permanent",warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,2047.0,",047 Layoff Permanent",
02/26/2021,04/30/2021,03/04/2021,All About Parking,Menlo Park,San Mateo County,210 Layoff Permanent,warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,210.0,Layoff Permanent,
03/02/2021,05/01/2021,03/04/2021,Northern California Medical Associates,Santa Rosa,Sonoma County,151 Closure Permanent,warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,151.0,Closure Permanent,
11/18/2020,01/17/2021,03/04/2021,Sunrise Growers Inc.,Santa Maria,Santa Barbara County,101 Closure Permanent,warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,101.0,Closure Permanent,
03/01/2021,03/05/2021,03/05/2021,Goodwill Industries,Dixon,Solano County,15 Closure Type Unknown,warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,15.0,Closure Type Unknown,
03/03/2021,04/30/2021,03/08/2021,Morrison Healthcare at Kaiser Permanente,Los Angeles,Los Angeles County,21 Closure Permanent,warn7-1-20to6-3-21_table103.csv,warn7-1-20to6-3-21_table103.csv,,21.0,Closure Permanent,
